SY,Date,Site,Plot,Species,Tag_num,Rep_status,Azimuth_degree,Dist_cm,DBH_cm,Mortality,Health,Condition,Fungus,Termites,Crew,Connect,Notes
2022,9/21/2021,Brewers Bay,C,LARA,,NF,158,380,4.4,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,163,436,3.1,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,163,473,3.3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,138,504,4.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,150,564,2.6,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,173,377,4.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,190,275,2.7,Alive,Healthy,H,No,No,,,
2024,6/26/2024,STEER Basin,C,RHMA ,,,235,1.87,4.3,Dead,Dead,D,No,No,"DG, KR",,
2024,6/26/2024,STEER Basin,C,LARA,,D,,3.16,4.6,Dead,Dead,D,No,No,"DG, KR",,
2024,6/26/2024,STEER Basin,C,RHMA ,,,,,5.9,Dead,Dead,D,No,No,"DG, KR",,
2024,6/26/2024,STEER Basin,C,RHMA ,,,30,4.3,7.7,Dead,Dead,D,No,No,"DG, KR",,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,191,377,3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,192,347,4.4,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,195,437,2.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,205,443,2.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,202,520,4,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,210,428,4.8,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,215,464,3.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,215,492,2.8,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,215,499,4.1,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,225,498,3.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,230,530,3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,251,565,4.9,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,270,390,2.9,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,250,152,3.1,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,340,258,3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"ID, MD",340,289,3.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"F, ID, MD",340,400,3.7,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"F, ID, MD",340,393,3.8,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,275,369,4,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"ID, MD",275,325,4.6,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"F, ID, MD",357,402,3.2,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"ID, MD",353,505,3.3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,MD,359,456,3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,MD,359,485,3.7,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,MD,359,490,4.5,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,"ID, MD",280,294,4,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,"F, ID, MD",333,404,3.4,Alive,Healthy,H,No,No,,,
2024,7/5/2024,STEER Fringe,A,RHMA ,,,80,4.66,3.9,Dead,Dead,D,No,No,"DG, KG",,no tag
2024,7/5/2024,STEER Fringe,A,RHMA ,,,0,3.78,2.5,Dead,Dead,D,No,No,"DG, KG",,no tag
2022,9/21/2021,Brewers Bay,C,RHMA ,,NF,317,561,3.3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,"ID, MD",317,555,4.3,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,RHMA ,,MD,315,338,2.6,Alive,Healthy,H,No,No,,,
2022,9/21/2021,Brewers Bay,C,LARA,,NF,290,182,3.8,Alive,Unhealthy,U,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,259,204,2.6,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,101,468,2.9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,154,551,3.1,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,189,478,3.2,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,175,382,4,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,110,430,4.2,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,295,144,4.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,MD,277,462,4.6,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,101,323,5,Alive,Healthy,H,No,No,"KH, LP, HAS",,
2022,10/14/2021,Compass Point,A,RHMA ,,F,80,236,5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,232,393,5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,"F, ID",30,248,5.7,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,195,330,5.9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,290,382,6.1,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,20,114,6.4,Alive,Healthy,H,No,No,,,Herbivory
2022,10/14/2021,Compass Point,A,RHMA ,,NF,128,565,7,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,139,363,7.1,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,255,313,7.2,Alive,Healthy,H,No,No,,,
2024,7/5/2024,STEER Fringe,A,RHMA ,R2072,,215,4.35,8.6,Dead,Dead,D,No,Yes,"DG, KG",,
2022,10/14/2021,Compass Point,A,RHMA ,,F,250,145,7.7,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,92,472,8.2,Alive,Unhealthy,U,No,Yes,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,248,456,8.2,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,225,444,8.4,Alive,Healthy,H,No,No,,,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,160,4.31,7.7,Dead,Dead,D,No,No,"DG, KG",,crown snapped
2024,7/8/2024,STEER Fringe,B,RHMA ,,,155,5.44,4.7,Dead,Dead,D,No,No,"DG, KG",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,120,4.83,5.8,Dead,Dead,D,No,No,"DG, KG",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,120,5.07,7,Dead,Dead,D,No,No,"DG, KG",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,175,155,6.7,Dead,Dead,D,No,No,"AD, JC, SM",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,170,194,5,Dead,Dead,D,No,No,"AD, JC, SM",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,185,157,5.9,Dead,Dead,D,No,No,"AD, JC, SM",,
2024,7/8/2024,STEER Fringe,B,LARA,,,200,144,3.3,Dead,Dead,D,No,No,"AD, JC, SM",,
2024,7/8/2024,STEER Fringe,B,RHMA ,,,210,162,4.9,Dead,Dead,D,No,Yes,"AD, JC, SM",,termites
2022,10/14/2021,Compass Point,A,RHMA ,,MD,205,378,8.4,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,172,565,8.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,MD,220,460,8.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,"F, ID",300,173,8.6,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,95,375,8.8,Alive,Unhealthy,U,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,161,336,8.9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,139,453,9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,NF,280,464,9.1,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,70,110,9.2,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,"F, ID, MD",280,506,9.3,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,150,377,10.2,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,60,422,10.3,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,A,RHMA ,,F,30,348,11.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,244,288,2.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,158,354,2.5,Alive,Healthy,H,No,No,,,
2024,7/8/2024,STEER Fringe,B,RHMA ,R1126,,275,1.62,10.6,Dead,Dead,D,No,Yes,"LU, SM, KWG",,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,148,265,2.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,LARA,,MD,100,305,2.7,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,143,410,2.9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,119,460,2.9,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,154,485,3,Alive,Healthy,H,No,No,,,
2024,7/8/2024,STEER Fringe,B,RHMA ,R1148,,30,2.98,9.2,Dead,Dead,D,No,Yes,"LU, SM, KWG",,
2022,10/14/2021,Compass Point,B,RHMA ,,F,249,465,3.1,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,144,380,3.4,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,312,355,3.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,31,400,3.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,119,478,3.6,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,LARA,,F,109,519,4,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,F,185,518,4.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,157,546,4.7,Alive,Unhealthy,U,No,No,,,Ants and bark scars
2022,10/14/2021,Compass Point,B,LARA,,NF,136,495,5,Alive,Healthy,H,No,No,,,
