Objective,Sample_Year,Date,Site,Plot,Team,Status,Core_collected,Well_placed,Hobos_placed,Notes,
Site Install,2022,12/8/2021,Turner Bay,B,"Kristin, Allie, Lila, Kalya, Laura, Jon Jon",Established and Finished Plot B,N,N,N,plot PVC for C left at site B,
Site Install,2022,12/10/2021,Turner Bay,C,"Kristin, Allie, Lila, Kalya, Laura",Established and finished Plot C,N,N,N,,
Site Install,2022,2/22/2022,STEER Basin,"A, B, C","KWG, AND, KT, HL, LU, LP, KH","Established Basin plots B & C, offloads at  basin A",Y,N,Y,,
Spring Offloads,2022,2/22/2022,STEER Fringe,"A, B, C","KWG, AND, KT, HL, LU, LP, KH",Offloads at fringe A-C,N,N,Y,,
Spring Offloads,2022,2/24/2022,Compass Point,"A, B, C","AND, AJH, LU, KH",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,2/24/2022,Vessup Bay,"A, B, C","AND, AJH, LU, KH",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,2/24/2022,Mandahl Bay,"A, B, C","AND, AJH, LU, KH",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,2/24/2022,Magens Bay,"A, B","AND, AJH, LU, KH",Offloads at A & B,N,N,Y,,
Site Install,2022,2/25/2022,Water Creek,"A, B, C","LU, KH, LP, AD, TT",Established and Finished Plots A-C,N,N,Y,"NPS SETS between plots A & B, and W of B",
Spring Offloads,2022,2/25/2022,Lameshur Bay,"A, B, C","LU, KH, LP, AD, TT",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/1/2022,Magens Bay,C,"AND, LU, Zach",Offloads at C,N,N,Y,,
Spring Offloads,2022,3/2/2022,Brewers Bay,"A, B, C","AND, Zach, Ellie",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/11/2022,Reef Bay,"A, B, C","KWG, AND, AJH, VB",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/11/2022,Princess Bay,"A, B, C","KWG, AND, AJH, VB",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/11/2022,Francis Bay,"A, B, C","KWG, AND, AJH, VB",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/17/2022,Perseverance Bay,"A, B, C","AND, AJH, LU",Offloads at A-C,N,N,Y,,
Spring Offloads,2022,3/18/2022,Turner Bay,"A, B, C","AND, AJH, LP",Offloads at A-C,N,N,Y,,
Site Install,2022,4/5/2022,Mary Creek,"A, B, C","KWG, AND, LP, LU, KH",Established and Finished Plots A-C,N,N,Y,"NPS SETS between plots A & B, and B & C",
Summer Offloads,2023,6/24/2022,Salt River,"A, B, C","KWG, AND, AJH, KH",Offloads at A-C,N,N,Y,,diatoms collected
Summer Offloads,2023,6/24/2022,SouthGate,"A, B, C","KWG, AND, AJH, KH",Offloads at A-C,N,N,Y,,
Summer Offloads,2023,6/24/2022,Great Pond,"A, B, C","KWG, AND, AJH, KH",Offloads at A-C,N,N,Y,,
Summer Offloads,2023,6/24/2022,Krause Lagoon,"A, B, C","KWG, AND, AJH, KH",Offloads at A-C,N,N,Y,,diatoms collected
